,男＿女,年齢,澄＿濁,高さ,落ち着き,張り,繊細,アニメ,独特,深み,かすれ,甲高い
1,1,0.1,0.5,0.5,0.5,0.8,0,0,0,0.2,0,0
2,-1,0.1,0.3,0.5,0.5,0.5,0,0,0,0.2,0.1,0
3,1,0.1,0.1,0.5,0.6,0.5,0,0,0.1,0.5,0,0
4,-1,-0.1,0.2,0.7,0.4,0.4,0.1,0.3,0.4,0.1,0.3,0.1
5,1,0.7,-0.1,0.4,0.7,0.5,0,0,0.1,0.3,0,0
6,-1,0.4,-0.1,0.2,0.8,0.4,0,0,0.4,0.5,0.3,0
7,-1,0.3,0.1,0.4,0.8,0.2,0,0,0.1,0.4,0.2,0
8,-1,0.2,0.4,0.6,0.4,0.2,0,0,0,0.3,0,0
9,1,0.3,0,0.3,0.7,0.5,0,0,0,0.5,0,0
10,-1,0,0.8,0.6,0.2,0,0.2,0.9,0.8,0,0.7,0
11,0.1,-0.1,0.1,0.8,0.3,0.2,0.1,0.2,0.4,0.1,0.3,0
12,1,0,0.1,0.4,0.5,0.6,0,0.1,0.3,0.2,0,0
13,1,0.2,0,0.5,0.5,0.6,0,0,0.1,0.4,0,0
14,-1,0.1,0.8,0.7,0.1,0.4,0,0.9,0.8,0.2,0,0.6
15,-1,-0.1,0.7,0.6,0.3,0.4,0,0.6,0.6,0.4,0.2,0.5
16,-1,0.3,0.2,0.4,0.8,0.7,0,0,0.1,0.6,0,0.1
17,-1,0.2,-0.1,0.5,0.1,0.3,0.1,0.4,0.7,0.2,0.3,0
18,-1,-0.1,0.2,0.5,0.5,0.4,0.1,0.1,0.3,0.4,0.1,0.1
19,-1,0,-0.1,0.4,0.7,0.2,0.6,0,0.4,0.3,0.8,0.1
20,1,0.2,-0.1,0.4,0.4,0.5,0,0.2,0.8,0.5,0,0
21,1,0.5,-0.6,0.3,0.9,0.4,0,0,0.6,0.6,0,0
22,1,0.2,0.5,0.5,0.7,0.6,0,0,0.1,0.6,0,0
23,1,0,0.1,0.7,0.5,0.4,0,0.1,0.6,0.3,0,0
24,-1,0,0.6,0.3,0.6,0.5,0,0,0,0,0,0
25,-1,0.1,-0.1,0.1,0.7,0.5,0,0,0.1,0.3,0,0
26,-1,-0.1,0.9,0.7,0.5,0.8,0,0.1,0,0,0,0
27,-1,0.7,0.8,0.3,0.7,0.6,0,0,0,0.6,0,0
28,1,0.8,-0.3,0.4,0.8,0.4,0,0,0.1,0.4,0,0
29,-1,0,-0.1,0.5,0.5,0.5,0,0,0,0,0,0
30,-1,0.1,0.2,0.6,0.7,0.5,0,0,0.1,0.5,0,0
31,1,0.2,-0.2,0.4,0.9,0.5,0,0,0,0.4,0,0
32,0.5,0,-0.1,0.8,0.5,0.4,0.2,0,0.3,0.1,0.7,0
33,1,0.1,-0.1,0.4,0.7,0.5,0,0,0,0.3,0,0
34,1,0.5,0.1,0.3,0.7,0.5,0,0,0.1,0.9,0,0
35,-1,0.5,0.7,0.6,0.4,0.7,0,0,0.2,0.6,0,0
36,-1,-0.3,0.9,0.7,0.2,0.7,0,0.3,0.2,0,0,0.2
37,1,0.4,-0.4,0.4,0.8,0.4,0,0,0,0.5,0.3,0
38,-1,-0.2,0.2,0.7,0.7,0.5,0.4,0.1,0.1,0,0.2,0.3
39,-1,-0.2,0.4,0.5,0.3,0.8,0,0,0,0,0.2,0
40,-1,0.2,0,0.5,0.6,0.7,0,0,0,0.2,0.1,0.3
41,0.5,-0.3,-0.1,0.8,0.4,0.3,0.1,0.2,0.1,0,0.1,0.1
42,0.9,0.1,0,0.6,0.8,0.4,0,0,0,0,0.3,0
43,-1,-0.2,0,0.4,0.8,0.2,0,0,0,0,0.4,0
44,1,0,-0.1,0.4,0.8,0.3,0,0,0,0.3,0.8,0
45,1,0.1,-0.1,0.5,0.5,0.5,0,0,0,0.2,0,0.1
46,1,0.2,-0.1,0.4,0.7,0.3,0,0,0.2,0.2,0.3,0
47,1,0.6,-0.3,0.4,0.7,0.3,0,0,0,0.2,0.4,0
48,1,0.2,-0.1,0.5,0.7,0.2,0,0,0,0.2,0,0
49,1,0.5,0,0.3,0.7,0.3,0,0,0,0.1,0.1,0
50,1,0.2,0,0.4,0.7,0.5,0,0,0,0.2,0,0
51,-1,0,0.6,0.7,0.4,0.7,0,0.1,0,0,0,0.4
52,1,0.1,-0.1,0.5,0.5,0.7,0,0,0,0.4,0.2,0
53,-1,0,0,0.4,0.7,0.5,0.1,0.1,0,0.1,0.3,0
54,1,0,0.2,0.6,0.5,0.5,0,0,0,0,0,0.2
55,-1,0,0.1,0.4,0.6,0.6,0.1,0,0,0.2,0.7,0
56,-1,0.6,0.2,0.3,0.8,0.5,0,0,0,0.4,0,0
57,-1,0.6,-0.1,0.5,0.7,0.6,0,0,0,0.2,0,0
58,-1,0.8,0.3,0.5,0.7,0.6,0.2,0,0,0,0.1,0
59,-1,-0.2,-0.1,0.4,0.4,0.7,0,0,0,0,0.1,0
60,-1,-0.1,-0.1,0.5,0.6,0.5,0,0,0,0,0.4,0
61,-1,0,0.4,0.4,0.7,0.5,0,0,0.1,0.1,0,0
